,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
6,2_0,objective,85.14944338224956,1.0,2,10000,85.14944338224956,3,"GP, online only"
7,3_0,objective,97.0739411686193,1.0,3,10000,97.0739411686193,3,"GP, online only"
8,4_0,objective,94.3169235720683,1.0,4,10000,94.3169235720683,3,"GP, online only"
9,5_0,objective,100.36880621387431,1.0,5,10000,100.36880621387431,3,"GP, online only"
10,6_0,objective,87.12161903829124,1.0,6,10000,87.12161903829124,3,"GP, online only"
11,7_0,objective,95.71218128268202,1.0,7,10000,95.71218128268202,3,"GP, online only"
12,8_0,objective,96.97937926462174,1.0,8,10000,96.97937926462174,3,"GP, online only"
13,9_0,objective,94.28654344640745,1.0,9,10000,94.28654344640745,3,"GP, online only"
14,10_0,objective,94.14753129655769,1.0,10,10000,94.14753129655769,3,"GP, online only"
15,11_0,objective,97.34929210178622,1.0,11,10000,97.34929210178622,3,"GP, online only"
16,12_0,objective,102.08395216948246,1.0,12,10000,102.08395216948246,3,"GP, online only"
17,13_0,objective,105.0094529519778,1.0,13,10000,105.0094529519778,3,"GP, online only"
18,14_0,objective,98.21177037974685,1.0,14,10000,98.21177037974685,3,"GP, online only"
19,15_0,objective,100.8928505821326,1.0,15,10000,100.8928505821326,3,"GP, online only"
20,16_0,objective,98.44695860462068,1.0,16,10000,98.44695860462068,3,"GP, online only"
21,17_0,objective,102.72280208741181,1.0,17,10000,102.72280208741181,3,"GP, online only"
22,18_0,objective,98.89463432968608,1.0,18,10000,98.89463432968608,3,"GP, online only"
23,19_0,objective,35.85492778830047,1.0,19,10000,35.85492778830047,3,"GP, online only"
24,20_0,objective,97.19992525122375,1.0,20,10000,97.19992525122375,3,"GP, online only"
0,0_0,objective,65.37301931362578,1.0,0,2000,65.37301931362578,4,"GP, online only"
1,0_1,objective,88.92227718565461,1.0,0,2000,88.92227718565461,4,"GP, online only"
2,0_2,objective,34.014192656674076,1.0,0,2000,34.014192656674076,4,"GP, online only"
3,0_3,objective,29.911379980009304,1.0,0,2000,29.911379980009304,4,"GP, online only"
4,0_4,objective,44.53842483556393,1.0,0,2000,44.53842483556393,4,"GP, online only"
5,1_0,objective,88.78105826084067,1.0,1,10000,88.78105826084067,4,"GP, online only"
6,2_0,objective,90.40158998636173,1.0,2,10000,90.40158998636173,4,"GP, online only"
7,3_0,objective,99.96747994400731,1.0,3,10000,99.96747994400731,4,"GP, online only"
8,4_0,objective,96.97556149922845,1.0,4,10000,96.97556149922845,4,"GP, online only"
9,5_0,objective,90.93637147507334,1.0,5,10000,90.93637147507334,4,"GP, online only"
10,6_0,objective,101.3030784308284,1.0,6,10000,101.3030784308284,4,"GP, online only"
11,7_0,objective,99.2308144220376,1.0,7,10000,99.2308144220376,4,"GP, online only"
12,8_0,objective,99.88439559549366,1.0,8,10000,99.88439559549366,4,"GP, online only"
13,9_0,objective,89.97891857043058,1.0,9,10000,89.97891857043058,4,"GP, online only"
14,10_0,objective,99.38492570532254,1.0,10,10000,99.38492570532254,4,"GP, online only"
15,11_0,objective,99.8432777839761,1.0,11,10000,99.8432777839761,4,"GP, online only"
16,12_0,objective,100.121486694703,1.0,12,10000,100.121486694703,4,"GP, online only"
17,13_0,objective,99.11780316035492,1.0,13,10000,99.11780316035492,4,"GP, online only"
18,14_0,objective,104.66419094283857,1.0,14,10000,104.66419094283857,4,"GP, online only"
19,15_0,objective,101.02308659181595,1.0,15,10000,101.02308659181595,4,"GP, online only"
20,16_0,objective,102.50947499626942,1.0,16,10000,102.50947499626942,4,"GP, online only"
21,17_0,objective,100.73033522200737,1.0,17,10000,100.73033522200737,4,"GP, online only"
22,18_0,objective,103.6284497887448,1.0,18,10000,103.6284497887448,4,"GP, online only"
23,19_0,objective,98.08219876953281,1.0,19,10000,98.08219876953281,4,"GP, online only"
24,20_0,objective,102.62965290665937,1.0,20,10000,102.62965290665937,4,"GP, online only"
0,0_0,objective,49.40216861615479,1.0,0,2000,49.40216861615479,5,"GP, online only"
1,0_1,objective,50.64527186413023,1.0,0,2000,50.64527186413023,5,"GP, online only"
2,0_2,objective,96.82375323609514,1.0,0,2000,96.82375323609514,5,"GP, online only"
3,0_3,objective,90.03487705514348,1.0,0,2000,90.03487705514348,5,"GP, online only"
4,0_4,objective,95.72587767640566,1.0,0,2000,95.72587767640566,5,"GP, online only"
5,1_0,objective,96.58457709268237,1.0,1,10000,96.58457709268237,5,"GP, online only"
6,2_0,objective,101.04716328967217,1.0,2,10000,101.04716328967217,5,"GP, online only"
7,3_0,objective,95.97830808391089,1.0,3,10000,95.97830808391089,5,"GP, online only"
